Exportaciones por Inciso Arancelario;;;;;;;;;;;;;;;;;;;;;;;;
Comercio General;;;;;;;;;;;;;;;;;;;;;;;;
Período: 2002 - 2025;;;;;;;;;;;;;;;;;;;;;;;;
-Cifras en US dólares-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Numero de Inciso;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025 p/
TOTAL;4.162.053.620;4.459.412.187;5.033.591.496;5.380.931.216;6.012.840.177;6.897.705.508;7.737.409.866;7.213.674.900;8.462.507.501;10.400.892.699;9.978.703.243;10.024.794.292;10.803.467.863;10.674.779.867;10.449.311.929;10.982.365.347;10.969.673.524;11.170.336.173;11.101.191.173;13.619.831.825;15.654.223.761;14.185.553.967;14.556.344.936;15.592.574.551
01011010;0;41.445 ;16.126 ;15.216 ;15.205 ;9.539 ;18.973 ;41.112 ;58.959 ;34.357 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01011090;0;2.305 ;0;4.065 ;77 ;11.867 ;2.374 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01011100;5.227 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01011900;92.931 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01012000;125 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01012100;0;0;0;0;0;0;0;0;0;0;11.100 ;58.276 ;86.620 ;82.200 ;75.000 ;0;0;0;0;0;0;0;0;0
0101210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.000 ;87.310 ;24.000 ;625.516 ;61.756 ;22.984 ;19.954 ;83.701 ;20.178 
01012900;0;0;0;0;0;0;0;0;0;0;81.500 ;18.600 ;4.044 ;48.360 ;31.700 ;0;0;0;0;0;0;0;0;0
0101290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.300 ;22.500 ;1.828 ;4.000 ;1.535.982 ;20.320 ;42.942 ;66.246 ;87.148 
01019000;400 ;2.500 ;16.045 ;3.300 ;9.800 ;22.600 ;5.000 ;4.576 ;21.640 ;800 ;800 ;0;0;0;0;0;0;0;0;0;0;0;0;0
0101900000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.980 ;2.045 ;3.944 ;0 
01021000;26.500 ;74.415 ;37.916 ;148.093 ;212.900 ;130.250 ;47.300 ;235.926 ;77.028 ;174.329 ;18.700 ;0;0;0;0;0;0;0;0;0;0;0;0;0
01022100;0;0;0;0;0;0;0;0;0;0;148.100 ;229.500 ;88.765 ;103.248 ;5.200 ;0;0;0;0;0;0;0;0;0
0102210000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.000 ;3.106 ;40.341 ;37.302 ;0;2.228 ;9.606 ;0 
01022900;0;0;0;0;0;0;0;0;0;0;0;0;15.000 ;20.700 ;2.000 ;0;0;0;0;0;0;0;0;0
0102290000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.360 ;0;421.003 ;3.713.933 ;3.618.458 ;3.404.584 ;4.071.638 ;17.185.456 
01023900;0;0;0;0;0;0;0;0;0;0;60.401 ;0;0;0;0;0;0;0;0;0;0;0;0;0
01029000;77.359 ;2.200 ;500 ;1.290.132 ;86.900 ;488.065 ;69.400 ;144.700 ;840.606 ;3.063.253 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01029090;0;0;0;0;0;0;0;0;0;0;200 ;4.011 ;15.526 ;0;0;0;0;0;0;0;0;0;0;0
0102909000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.437 ;0;0;0;0;2.961 ;410.688 ;818.680 
01031000;12.426 ;533.284 ;203.078 ;79.109 ;55.245 ;101.370 ;87.585 ;43.208 ;63.095 ;109.051 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01039100;0;0;0;0;0;356.928 ;448.019 ;494.494 ;646.755 ;1.141.836 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01039200;0;0;48 ;0;4.840 ;0;0;0;0;9.787 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0
